timestamp [ms],,temperature [C],pressure [Pa], altitude [m] ,pm2_5 [microg/m3],pm10_0 [microg/m3]
2525539,2525.539,14.73,87118.68,1256.22,17,21
2525565,2525.565,14.73,87117.95,1256.28,17,21
2525591,2525.591,14.73,87116.47,1256.42,17,21
2525631,2525.631,14.73,87116.66,1256.4,17,21
2525651,2525.651,14.73,87117.71,1256.31,17,21
2525677,2525.677,14.73,87118.94,1256.19,17,21
2525703,2525.703,14.72,87117.92,1256.29,17,21
2525729,2525.729,14.72,87114.75,1256.58,17,21
2525755,2525.755,14.72,87119.89,1256.1,17,21
2525781,2525.781,14.72,87117.1,1256.36,17,21
2525807,2525.807,14.72,87118.96,1256.19,17,21
2525833,2525.833,14.72,87118.96,1256.19,17,21
2525859,2525.859,14.72,87120.24,1256.07,17,21
2525885,2525.885,14.72,87119.59,1256.13,17,21
2525911,2525.911,14.72,87117.95,1256.28,17,21
2525937,2525.937,14.72,87116.13,1256.45,17,21
2525963,2525.963,14.72,87115.72,1256.49,17,21
2525989,2525.989,14.72,87117.41,1256.33,17,21
2526015,2526.015,14.72,87117.65,1256.31,17,21
2526041,2526.041,14.72,87117.45,1256.33,17,21
2526067,2526.067,14.72,87117.87,1256.29,17,21
2526093,2526.093,14.72,87117.92,1256.29,17,21
2526119,2526.119,14.72,87118.49,1256.23,17,21
2526144,2526.144,14.72,87118.09,1256.27,17,21
2526170,2526.17,14.72,87116.91,1256.38,17,21
2526196,2526.196,14.72,87117.36,1256.34,18,23
2526222,2526.222,14.72,87116.91,1256.38,18,23
2526248,2526.248,14.72,87118.48,1256.23,18,23
2526274,2526.274,14.72,87116.88,1256.38,18,23
2526300,2526.3,14.72,87119.63,1256.12,18,23
2526326,2526.326,14.72,87118.1,1256.27,18,23
2526352,2526.352,14.72,87119.13,1256.17,18,23
2526378,2526.378,14.72,87119.73,1256.12,18,23
2526404,2526.404,14.72,87120.9,1256.01,18,23
2526430,2526.43,14.72,87120.45,1256.05,18,23
2526456,2526.456,14.72,87122.99,1255.81,18,23
2526482,2526.482,14.71,87120.45,1256.05,18,23
2526508,2526.508,14.71,87119.73,1256.12,18,23
2526534,2526.534,14.71,87120.52,1256.04,18,23
2526560,2526.56,14.71,87118.55,1256.23,18,23
2526586,2526.586,14.71,87119.91,1256.1,18,23
2526612,2526.612,14.71,87115.91,1256.48,18,23
2526652,2526.652,14.71,87117.78,1256.3,18,23
2526672,2526.672,14.7,87117.8,1256.3,18,23
2526698,2526.698,14.7,87118.66,1256.22,18,23
2526724,2526.724,14.7,87118.03,1256.28,18,23
2526750,2526.75,14.7,87119.05,1256.18,18,23
2526776,2526.776,14.7,87119.91,1256.1,18,23
2526802,2526.802,14.7,87114.74,1256.59,18,23
2526828,2526.828,14.7,87115.6,1256.5,18,23
2526854,2526.854,14.7,87116.15,1256.45,18,23
2526880,2526.88,14.7,87119.44,1256.14,18,23
2526906,2526.906,14.71,87116.42,1256.43,18,23
2526932,2526.932,14.71,87116.8,1256.39,18,23
2526958,2526.958,14.71,87116.02,1256.47,18,23
2526984,2526.984,14.71,87116.04,1256.46,18,23
2527010,2527.01,14.71,87116.53,1256.42,18,23
2527036,2527.036,14.71,87116.55,1256.42,18,23
2527062,2527.062,14.71,87115.24,1256.54,18,23
2527087,2527.087,14.71,87116.56,1256.41,18,23
2527113,2527.113,14.71,87114.33,1256.62,18,23
2527139,2527.139,14.71,87114.7,1256.59,18,23
2527165,2527.165,14.71,87115.32,1256.53,18,23
2527191,2527.191,14.71,87116.08,1256.46,18,23
2527217,2527.217,14.72,87117.16,1256.36,18,23
2527243,2527.243,14.72,87115.64,1256.5,17,22
2527269,2527.269,14.72,87116.08,1256.46,17,22
2527295,2527.295,14.72,87114.22,1256.63,17,22
2527321,2527.321,14.72,87118.4,1256.24,17,22
2527347,2527.347,14.72,87118.52,1256.23,17,22
2527373,2527.373,14.72,87121.13,1255.98,17,22
2527399,2527.399,14.72,87119.72,1256.12,17,22
2527425,2527.425,14.72,87115.83,1256.48,17,22
2527451,2527.451,14.72,87118.19,1256.26,17,22
2527477,2527.477,14.72,87116.43,1256.43,17,22
2527503,2527.503,14.72,87118.88,1256.2,17,22
2527529,2527.529,14.72,87116.81,1256.39,17,22
2527555,2527.555,14.72,87115.63,1256.5,17,22
2527581,2527.581,14.73,87115.58,1256.51,17,22
2527607,2527.607,14.73,87116.36,1256.43,17,22
2527633,2527.633,14.73,87116.91,1256.38,17,22
2527673,2527.673,14.73,87117.66,1256.31,17,22
2527693,2527.693,14.73,87120.5,1256.04,17,22
2527719,2527.719,14.72,87117.99,1256.28,17,22
2527745,2527.745,14.72,87121.56,1255.94,17,22
2527771,2527.771,14.72,87115.04,1256.56,17,22
2527797,2527.797,14.72,87117.59,1256.32,17,22
2527823,2527.823,14.72,87116.69,1256.4,17,22
2527849,2527.849,14.72,87114.95,1256.57,17,22
2527875,2527.875,14.72,87113.89,1256.67,17,22
2527901,2527.901,14.73,87115,1256.56,17,22
2527927,2527.927,14.73,87116.2,1256.45,17,22
2527953,2527.953,14.73,87116.42,1256.43,17,22
2527979,2527.979,14.73,87114.2,1256.64,17,22
