timestamp_ms,co2_ppm,temperature_C,pressure_hPa
217760,838.00,16.47,949.69
218767,840.00,16.48,949.70
219793,840.00,16.48,949.68
220803,840.00,16.49,949.70
221819,840.00,16.50,949.70
222822,840.00,16.50,949.69
223831,841.00,16.51,949.71
224835,841.00,16.51,949.70
225838,841.00,16.52,949.71
226854,841.00,16.53,949.70
227856,841.00,16.53,949.71
228866,841.00,16.54,949.70
229871,841.00,16.55,949.72
230883,841.00,16.55,949.70
231894,841.00,16.56,949.70
232908,840.00,16.56,949.73
233935,840.00,16.55,949.70
234939,840.00,16.57,949.71
235944,840.00,16.58,949.72
236946,840.00,16.59,949.70
237975,840.00,16.60,949.70
238988,840.00,16.60,949.71
239992,840.00,16.61,949.71
241020,840.00,16.61,949.71
242040,839.00,16.62,949.71
243054,839.00,16.63,949.70
244056,839.00,16.63,949.70
245072,839.00,16.64,949.71
246083,839.00,16.64,949.70
247083,837.00,16.65,949.71
248085,837.00,16.66,949.71
249092,837.00,16.66,949.71
250101,837.00,16.67,949.71
251114,833.00,16.67,949.72
252117,833.00,16.68,949.71
253136,833.00,16.69,949.73
254147,833.00,16.70,949.71
255148,833.00,16.70,949.73
256157,830.00,16.71,949.74
257166,830.00,16.71,949.71
258168,830.00,16.72,949.73
259174,830.00,16.72,949.72
260178,830.00,16.73,949.71
261181,825.00,16.74,949.71
262193,825.00,16.74,949.71
263194,825.00,16.76,949.72
264201,825.00,16.76,949.72
265206,826.00,16.77,949.72
266242,826.00,16.77,949.72
267269,826.00,16.78,949.73
268288,826.00,16.79,949.73
269289,826.00,16.79,949.73
270295,827.00,16.80,949.73
271308,827.00,16.81,949.72
272314,827.00,16.81,949.73
273328,827.00,16.82,949.74
274335,830.00,16.83,949.73
275345,830.00,16.83,949.74
276346,830.00,16.84,949.73
277355,830.00,16.85,949.74
278368,830.00,16.85,949.72
279380,834.00,16.83,949.74
280381,834.00,16.87,949.71
281400,834.00,16.87,949.72
282403,834.00,16.88,949.72
283410,834.00,16.89,949.72
284421,841.00,16.90,949.73
285424,841.00,16.90,949.70
286434,841.00,16.91,949.71
287449,841.00,16.91,949.73
288452,848.00,16.92,949.72
289468,848.00,16.90,949.74
290483,848.00,16.93,949.72
291483,848.00,16.94,949.71
292490,848.00,16.95,949.71
293499,850.00,16.94,949.71
294526,850.00,16.96,949.72
295533,850.00,16.97,949.72
296541,850.00,16.98,949.73
297544,850.00,16.98,949.73
298560,851.00,16.98,949.71
299567,851.00,16.99,949.73
300575,851.00,17.00,949.71
301591,851.00,17.00,949.71
302597,851.00,17.02,949.72
303606,851.00,17.02,949.70
304618,851.00,17.02,949.74
305628,851.00,17.03,949.72
306629,851.00,17.04,949.72
307631,851.00,17.05,949.72
308657,851.00,17.05,949.72
309668,851.00,17.05,949.72
310683,851.00,17.06,949.70
311689,852.00,17.07,949.73
312696,852.00,17.08,949.72
313699,852.00,17.09,949.73
314708,852.00,17.09,949.74
315718,852.00,17.10,949.72
316745,850.00,17.11,949.72
317750,850.00,17.11,949.74
318763,850.00,17.12,949.73
319764,850.00,17.12,949.73
320767,850.00,17.13,949.73
321774,849.00,17.13,949.74
322779,849.00,17.14,949.73
323788,849.00,17.15,949.76
324796,849.00,17.15,949.75
325797,847.00,17.16,949.75
326802,847.00,17.17,949.74
327814,847.00,17.17,949.73
328827,847.00,17.18,949.75
329836,847.00,17.18,949.74
330845,847.00,17.19,949.74
331857,847.00,17.19,949.72
332884,847.00,17.20,949.75
333894,847.00,17.21,949.73
334900,847.00,17.21,949.72
335900,844.00,17.22,949.71
336921,844.00,17.22,949.72
337928,844.00,17.23,949.72
338937,844.00,17.24,949.71
339937,826.00,17.25,949.73
340953,826.00,17.25,949.72
341965,826.00,17.26,949.72
342977,826.00,17.27,949.71
343982,826.00,17.27,949.71
344993,812.00,17.23,949.75
346003,812.00,17.29,949.70
347019,812.00,17.29,949.71
348024,812.00,17.30,949.71
349032,812.00,17.30,949.71
350038,812.00,17.31,949.72
351039,812.00,17.32,949.71
352049,812.00,17.32,949.72
353060,812.00,17.33,949.71
354062,813.00,17.34,949.72
355068,813.00,17.34,949.71
356081,813.00,17.35,949.72
357086,813.00,17.36,949.72
358092,813.00,17.36,949.73
359118,813.00,17.37,949.72
360130,813.00,17.37,949.72
361132,813.00,17.38,949.74
362140,813.00,17.38,949.72
363153,812.00,17.39,949.71
364162,812.00,17.40,949.71
365174,812.00,17.40,949.72
366199,812.00,17.41,949.72
367211,812.00,17.42,949.72
368216,811.00,17.43,949.72
369224,811.00,17.43,949.68
370238,811.00,17.44,949.71
371252,811.00,17.44,949.72
372273,811.00,17.42,949.73
373286,811.00,17.45,949.70
374293,811.00,17.46,949.70
375295,811.00,17.47,949.70
376300,811.00,17.48,949.67
377309,810.00,17.48,949.69
timestamp_ms,co2_ppm,temperature_C,pressure_hPa
8636,0.00,17.33,949.77
9636,0.00,17.51,949.68
