# Processed Acoustic Event Data, only loud events that exceed 70dBSPL
# Original format: eventMillis, peak_stored, rms_stored, zeroCrossings
# eventTime_s = eventMillis / 1000.0 (time of event since device boot, wraps at 255ms due to uint8 bug)
# peak_dBSPL = 20*log10(peak_stored * 128) + 29.69  [calibrated: raw=368, raw stored=2.875 -> 81dB SPL]
# rms_dBSPL  = 20*log10(rms_stored  * 128) + 29.69
#
Line    EventMillis  EventTime_s  Peak_stored   Peak_dBSPL  RMS_stored   RMS_dBSPL  Duration_ms  ZeroCross
162             145        0.145            1         71.8           1        71.8            0          0
163              36        0.036            1         71.8           1        71.8            0          0
164              63        0.063            1         71.8           1        71.8            0          0
165              66        0.066            1         71.8           1        71.8            0          0
166              66        0.066            1         71.8           1        71.8           45          0
167              66        0.066            1         71.8           1        71.8            0          0
168              66        0.066            1         71.8           1        71.8            0          0
169              67        0.067            1         71.8           1        71.8           46          0
170              68        0.068            1         71.8           1        71.8            0          0
171              68        0.068            1         71.8           1        71.8            0          0
172              69        0.069            2         77.8           1        71.8           92          0
173              69        0.069            1         71.8           1        71.8           46          0
174              70        0.070            1         71.8           1        71.8            0          0
175              70        0.070            1         71.8           1        71.8            0          0
176              70        0.070            1         71.8           1        71.8           46          0
177              74        0.074            1         71.8           1        71.8            0          0
178              77        0.077            1         71.8           1        71.8           46          0
179              79        0.079            1         71.8           1        71.8            0          0
180              83        0.083            1         71.8           1        71.8            0          0
181              85        0.085           14         94.7           5        85.8            0          0
182              89        0.089            1         71.8           1        71.8            0          0
183              91        0.091            2         77.8           1        71.8            1          0
184              91        0.091            9         90.9           2        77.8          385          0
185              94        0.094            1         71.8           1        71.8            0          0
186              95        0.095            1         71.8           1        71.8            0          0
187              96        0.096            1         71.8           1        71.8            0          0
188              98        0.098            1         71.8           1        71.8           92          0
189              98        0.098            1         71.8           1        71.8           46          0
190              99        0.099            1         71.8           1        71.8            0          0
191             100        0.100            3         81.4           1        71.8           46          0
192             101        0.101            3         81.4           2        77.8           46          0
193             104        0.104            2         77.8           1        71.8            0          0
194             108        0.108            4         83.9           2        77.8            0          0
195             116        0.116            2         77.8           1        71.8            0          0
196             118        0.118            3         81.4           1        71.8           92          0
197             150        0.150            2         77.8           1        71.8            0          0
198             155        0.155            1         71.8           1        71.8           46          0
199             167        0.167            1         71.8           1        71.8            0          0
200             177        0.177            2         77.8           1        71.8            0          0
201             193        0.193            1         71.8           1        71.8            0          0
202             195        0.195            2         77.8           1        71.8           46          0
203             212        0.212            1         71.8           1        71.8           46          0
204             214        0.214            1         71.8           1        71.8            0          0
205             214        0.214            1         71.8           1        71.8            0          0
206             247        0.247            1         71.8           1        71.8           45          0
207              15        0.015            1         71.8           1        71.8            0          0
208              50        0.050            1         71.8           1        71.8            0          0
209              74        0.074            1         71.8           1        71.8            0          0
210              80        0.080            3         81.4           2        77.8            0          0
211              40        0.040            2         77.8           1        71.8            0          0
212              50        0.050            2         77.8           1        71.8          422          0
213              55        0.055            1         71.8           1        71.8            0          0
214              56        0.056            1         71.8           1        71.8           47          0
215              56        0.056            1         71.8           1        71.8           46          0
216              57        0.057            1         71.8           1        71.8            1          0
217              58        0.058            1         71.8           1        71.8          327          0
218              63        0.063            1         71.8           1        71.8            0          0
219              64        0.064            1         71.8           1        71.8            0          0
220              67        0.067            1         71.8           1        71.8            0          0
221              68        0.068            1         71.8           1        71.8           47          0
222              68        0.068            1         71.8           1        71.8            0          0
223              68        0.068            1         71.8           1        71.8            0          0
224              68        0.068            1         71.8           1        71.8           46          0
225              69        0.069            1         71.8           1        71.8            0          0
226              77        0.077            1         71.8           1        71.8            1          0
227              78        0.078            1         71.8           1        71.8            0          0
228              81        0.081            1         71.8           1        71.8            0          0
229              81        0.081            1         71.8           1        71.8            1          0
230              87        0.087            1         71.8           1        71.8            0          0
231              87        0.087            3         81.4           1        71.8          549          0
232              88        0.088            1         71.8           1        71.8           92          0
233              93        0.093            1         71.8           1        71.8            0          0
234              97        0.097            2         77.8           1        71.8          473          0
235             112        0.112            1         71.8           1        71.8            0          0
236             113        0.113            1         71.8           1        71.8            0          0
237             113        0.113            1         71.8           1        71.8            0          0
238             114        0.114            1         71.8           1        71.8            0          0
239             114        0.114            1         71.8           1        71.8            0          0
240             115        0.115            1         71.8           1        71.8            0          0
241             118        0.118            1         71.8           1        71.8            0          0
242             119        0.119            1         71.8           1        71.8           92          0
243             120        0.120            2         77.8           1        71.8            0          0
244             121        0.121            1         71.8           1        71.8          137          0
245             122        0.122            2         77.8           1        71.8           93          0
246             122        0.122            2         77.8           1        71.8          555          0
